"INCP Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Total",
"Crows Nest - Waverton",355,429,473,596,657,750,978,1397,1301,1337,1104,2235,1877,13492,
"Mosman",826,808,798,914,907,1053,1308,1601,1381,1463,1079,2440,4557,19121,
"Neutral Bay - Kirribilli",331,464,534,628,720,699,955,1327,1264,1211,1007,2126,2137,13386,
"North Sydney - Lavender Bay",211,244,258,294,326,357,510,749,667,743,579,1343,1572,7842,
"Balgowlah - Clontarf - Seaforth",687,662,666,694,881,779,940,1116,879,879,680,1425,2641,12925,
"Manly - Fairlight",496,591,661,804,854,907,1167,1567,1242,1299,1022,2191,2722,15528,
"Avalon - Palm Beach",459,499,513,654,722,678,739,871,614,573,423,780,1049,8564,
"Bayview - Elanora Heights",387,471,477,580,600,588,659,720,495,500,345,673,776,7274,
"Newport - Bilgola",488,515,599,615,730,726,810,948,748,663,478,792,1023,9132,
"Warriewood - Mona Vale",801,968,1090,1235,1349,1420,1546,1719,1355,1176,806,1457,1184,16106,
"Beacon Hill - Narraweena",540,661,873,827,842,875,904,923,689,588,364,715,556,9371,
"Cromer",273,351,385,479,448,446,494,508,392,328,226,432,314,5076,
"Dee Why - North Curl Curl",690,945,1085,1406,1446,1681,2041,2142,1499,1275,898,1370,1004,17485,
"Forestville - Killarney Heights",559,570,633,677,676,602,634,684,539,506,427,855,983,8354,
"Frenchs Forest - Belrose",1025,1052,1183,1307,1331,1333,1489,1599,1172,1036,844,1650,1674,16703,
"Freshwater - Brookvale",569,681,759,897,911,1066,1354,1616,1284,1192,864,1606,1589,14400,
"Manly Vale - Allambie Heights",591,645,785,844,892,855,949,1072,825,747,539,1118,1153,11015,
"Narrabeen - Collaroy",762,870,1078,1255,1379,1388,1697,1929,1420,1305,832,1566,1370,16855,
"Terrey Hills - Duffys Forest",154,149,176,158,181,213,223,222,180,167,105,193,279,2403,
"Camden - Ellis Lane",373,572,788,794,744,721,820,911,682,629,480,729,301,8544,
"Elderslie - Harrington Park",702,838,1101,976,1089,1161,1373,1473,1187,1030,858,1162,479,13430,
"Mount Annan - Currans Hill",938,1156,1235,1229,1349,1698,2061,2458,1775,1500,1073,1357,346,18160,
"Bradbury - Wedderburn",565,1142,1418,1313,1161,1228,1404,1349,830,609,359,381,93,11857,
"Campbelltown - Woodbine",532,1070,1414,1253,1143,1233,1333,1341,872,666,393,489,150,11886,
"Claymore - Eagle Vale - Raby",726,1195,1280,1141,1133,1378,1723,1580,1009,726,447,475,136,12951,
"Holsworthy Military Area",0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ingleburn - Denham Court",770,1001,1190,1133,1142,1324,1519,1497,1010,823,489,575,225,12694,
"Leumeah - Minto Heights",547,917,1214,1102,996,1232,1399,1319,826,595,355,409,117,11030,
"Macquarie Fields - Glenfield",726,1397,1555,1400,1360,1491,1735,1633,1052,719,444,534,136,14186,
"Minto - St Andrews",670,1199,1333,1256,1156,1385,1581,1530,884,661,376,394,116,12535,
"Rosemeadow - Glen Alpine",733,1179,1488,1265,1186,1371,1585,1489,1012,737,452,576,226,13293,
"Bargo",191,290,456,392,361,370,413,388,277,230,155,203,55,3778,
"Douglas Park - Appin",310,426,497,483,491,517,631,689,561,483,393,537,240,6264,
"Picton - Tahmoor - Buxton",539,800,1154,1016,941,1081,1146,1212,763,673,509,681,247,10758,
"The Oaks - Oakdale",307,455,512,468,526,562,621,703,447,391,275,346,198,5818,
"Blackheath - Megalong Valley",196,325,482,507,501,390,375,351,224,181,156,187,71,3944,
"Blaxland - Warrimoo - Lapstone",773,900,1032,1094,1081,1016,1245,1309,1045,991,827,1222,613,13151,
"Blue Mountains - North",0,0,0,0,0,0,0,5,0,0,0,0,0,11,
"Katoomba - Leura",369,828,1057,1448,1093,929,873,841,538,412,298,422,210,9320,
"Lawson - Hazelbrook - Linden",439,625,720,811,736,714,777,733,526,547,386,501,131,7650,
"Springwood - Winmalee",847,1063,1241,1431,1319,1314,1404,1481,1194,1089,931,1214,411,14933,
"Wentworth Falls",208,334,455,506,453,374,367,394,241,244,194,289,129,4203,
"Blue Mountains - South",0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Cambridge Park",475,803,1006,962,937,1112,1368,1389,870,635,444,436,92,10520,
"Castlereagh - Cranebrook",687,1013,1212,1134,1138,1390,1753,2109,1466,1147,763,960,325,15096,
"Emu Plains - Leonay",495,670,917,855,808,756,972,1093,814,732,524,705,294,9631,
"Glenmore Park - Regentville",757,846,945,922,1017,1219,1457,1722,1347,1168,910,1105,380,13788,
"Jamisontown - South Penrith",520,826,1109,1213,1015,1108,1327,1459,945,778,503,586,161,11543,
"Kingswood - Werrington",549,1059,1314,1231,1173,1259,1540,1546,997,784,476,510,118,12556,
"Mulgoa - Luddenham - Orchard Hills",271,377,448,460,498,526,647,752,532,506,371,461,263,6118,
"Penrith",327,722,1100,1239,878,870,990,1033,684,452,303,344,121,9072,
"Warragamba - Silverdale",150,219,327,240,284,358,399,437,306,238,169,197,78,3408,
"Richmond - Clarendon",440,766,1003,1042,958,1017,1011,1027,682,560,358,440,155,9453,
"Windsor - Bligh Park",474,805,943,969,1002,1016,1190,1224,846,672,423,504,164,10242,
