"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Chullora",143,94,193,211,106,83,61,12,3,0,0,900,
"Condell Park",1799,1674,1630,1588,1408,1247,947,622,317,67,0,11305,
"Greenacre - Mount Lewis",4163,4144,3598,3329,3115,3030,2176,1371,823,217,5,25964,
"Padstow",1874,1971,2117,2145,2131,2348,1719,1119,824,217,7,16475,
"Panania - Milperra - Picnic Point",3498,3372,3034,3352,3706,3418,2715,1671,858,164,0,25788,
"Revesby",2098,1919,2231,2244,2149,2129,1617,924,682,224,0,16223,
"Yagoona - Birrong",3084,2872,2998,2715,2532,2563,1959,1042,743,188,3,20706,
"Bankstown - North",2699,1831,2870,2771,1900,1767,1217,690,400,90,5,16237,
"Bankstown - South",2447,1955,2664,2371,2001,1926,1342,755,439,84,3,15993,
"Belmore - Belfield",2421,2267,2622,2772,2617,2343,1793,1347,717,128,0,19033,
"Canterbury (South) - Campsie",3385,3092,5815,5391,3935,3799,2497,1579,937,197,0,30620,
"Kingsgrove (North) - Earlwood",2931,2876,2451,2992,3738,2997,2358,1938,1169,222,3,23679,
"Punchbowl",3210,2986,3392,3058,2514,2344,1658,1008,504,83,3,20753,
"Roselands",1997,1800,1791,1859,1930,1654,1261,843,510,97,0,13739,
"Lakemba",3317,1808,2993,3375,1905,1522,952,622,417,100,0,17019,
"Wiley Park",1854,1130,1899,2069,1160,922,659,360,146,19,0,10217,
"Hurstville",2457,2435,5541,3884,2596,2676,1966,1173,705,177,0,23613,
"Mortdale - Penshurst",2851,2589,3554,3954,3214,3129,2269,1309,800,232,0,23907,
"Narwee - Beverly Hills",1607,1551,1931,1925,1812,1803,1474,876,651,157,0,13781,
"Oatley - Hurstville Grove",1487,1595,1589,1470,1805,1824,1400,868,461,106,0,12614,
"Peakhurst - Lugarno",2117,2313,1911,1928,2417,2383,1993,1550,1026,292,6,17937,
"Riverwood",1267,1156,1737,1582,1335,1554,1251,844,463,85,0,11277,
"South Hurstville - Blakehurst",2624,2924,4284,3127,3074,3121,2327,1459,866,255,6,24070,
"Arncliffe - Bardwell Valley",2174,1791,5910,4612,2273,1823,1444,827,457,124,0,21443,
"Bexley",3359,2879,4074,4330,3370,3131,2458,1526,1044,309,9,26480,
"Kingsgrove (South) - Bardwell Park",1501,1547,1537,1613,1822,1617,1285,974,591,127,0,12615,
"Kogarah",1367,1009,2209,2342,1398,1153,817,532,410,68,0,11315,
